EMD,popid,Area,Simulator
0.0026442409150382014,0,0,NEST-NEST
0.0024036635293124527,0,0,NEST-NEST
0.0016502764529607748,0,0,NEST-NEST
0.003570674882876745,0,0,NEST-NEST
0.007179335668762913,0,0,NEST-NEST
0.006314101211328244,0,0,NEST-NEST
0.0012071075845186464,0,0,NEST-NEST
0.002705440425442118,0,0,NEST-NEST
0.0032161397881230376,0,0,NEST-NEST
0.001500443168868465,0,0,NEST-NEST
0.00271388173722191,0,0,NEST-NEST GPU
0.0035411302916473373,0,0,NEST-NEST GPU
0.001848647279787283,0,0,NEST-NEST GPU
0.00365086734478535,0,0,NEST-NEST GPU
0.0026822268180475475,0,0,NEST-NEST GPU
0.001907736462246201,0,0,NEST-NEST GPU
0.0025429451736799693,0,0,NEST-NEST GPU
0.004573080656734063,0,0,NEST-NEST GPU
0.005058456084075458,0,0,NEST-NEST GPU
0.0017600135060988537,0,0,NEST-NEST GPU
0.010653897950022443,1,0,NEST-NEST
0.010257369444860156,1,0,NEST-NEST
0.012786173874008752,1,0,NEST-NEST
0.010900793057010381,1,0,NEST-NEST
0.01020499775549907,1,0,NEST-NEST
0.009995510998054739,1,0,NEST-NEST
0.013624120903785699,1,0,NEST-NEST
0.01090827472691905,1,0,NEST-NEST
0.010766122998653331,1,0,NEST-NEST
0.013459524165793744,1,0,NEST-NEST
0.009935657638784956,1,0,NEST-NEST GPU
0.02116564417177914,1,0,NEST-NEST GPU
0.010818494688014435,1,0,NEST-NEST GPU
0.012509352087385996,1,0,NEST-NEST GPU
0.011454436630255792,1,0,NEST-NEST GPU
0.012666467155469065,1,0,NEST-NEST GPU
0.013773754301960175,1,0,NEST-NEST GPU
0.016519527158461802,1,0,NEST-NEST GPU
0.016579380517731584,1,0,NEST-NEST GPU
0.012606613796199309,1,0,NEST-NEST GPU
0.007312429852103307,2,0,NEST-NEST
0.019367212695526072,2,0,NEST-NEST
0.013084802591387517,2,0,NEST-NEST
0.008312614545299463,2,0,NEST-NEST
0.019522070836944187,2,0,NEST-NEST
0.011259181382925698,2,0,NEST-NEST
0.005846250017758982,2,0,NEST-NEST
0.012870274340432234,2,0,NEST-NEST
0.011102902524613904,2,0,NEST-NEST
0.011850199610723627,2,0,NEST-NEST
0.013194197792206068,2,0,NEST-NEST GPU
0.011335900095187923,2,0,NEST-NEST GPU
0.014019634307471513,2,0,NEST-NEST GPU
0.012677056842882919,2,0,NEST-NEST GPU
0.007879295892707553,2,0,NEST-NEST GPU
0.01721624731839694,2,0,NEST-NEST GPU
0.008886584170372186,2,0,NEST-NEST GPU
0.0252731328228223,2,0,NEST-NEST GPU
0.012500887948058521,2,0,NEST-NEST GPU
0.008488783440123892,2,0,NEST-NEST GPU
0.008240040916065214,3,0,NEST-NEST
0.022776609649372018,3,0,NEST-NEST
0.018275842473148805,3,0,NEST-NEST
0.013337500710348421,3,0,NEST-NEST
0.012388475308291094,3,0,NEST-NEST
0.0205432744217764,3,0,NEST-NEST
0.012814684321191053,3,0,NEST-NEST
0.011592885150877976,3,0,NEST-NEST
0.01093368187759286,3,0,NEST-NEST
0.01305336136841511,3,0,NEST-NEST
0.014780928567369442,3,0,NEST-NEST GPU
0.014536568733306906,3,0,NEST-NEST GPU
0.01108143433539812,3,0,NEST-NEST GPU
0.015974313803489227,3,0,NEST-NEST GPU
0.018696368699210087,3,0,NEST-NEST GPU
0.019673808035460566,3,0,NEST-NEST GPU
0.018230380178439465,3,0,NEST-NEST GPU
0.01604250724555313,3,0,NEST-NEST GPU
0.016826731829289086,3,0,NEST-NEST GPU
0.02279365800988795,3,0,NEST-NEST GPU
0.060978784956605386,4,0,NEST-NEST
0.06271938283510128,4,0,NEST-NEST
0.02771456123432988,4,0,NEST-NEST
0.04512536162005784,4,0,NEST-NEST
0.035178399228543815,4,0,NEST-NEST
0.047743490838958555,4,0,NEST-NEST
0.05993249758919958,4,0,NEST-NEST
0.13220829315332694,4,0,NEST-NEST
0.062463837994214066,4,0,NEST-NEST
0.03256027000964305,4,0,NEST-NEST
0.08391996142719385,4,0,NEST-NEST GPU
0.08952266152362587,4,0,NEST-NEST GPU
0.051996142719382736,4,0,NEST-NEST GPU
0.03687560270009645,4,0,NEST-NEST GPU
0.03317743490838964,4,0,NEST-NEST GPU
0.0836354869816777,4,0,NEST-NEST GPU
0.03745419479267108,4,0,NEST-NEST GPU
0.08190935390549674,4,0,NEST-NEST GPU
0.03747348119575711,4,0,NEST-NEST GPU
0.0412005785920925,4,0,NEST-NEST GPU
0.06596398770311818,5,0,NEST-NEST
0.06242863416776463,5,0,NEST-NEST
0.08357487922705323,5,0,NEST-NEST
0.05614844093104974,5,0,NEST-NEST
0.05735617039964868,5,0,NEST-NEST
0.06552481335090031,5,0,NEST-NEST
0.05636802810715859,5,0,NEST-NEST
0.06985068072024597,5,0,NEST-NEST
0.04822134387351777,5,0,NEST-NEST
0.0752086078173035,5,0,NEST-NEST
0.07435221783047857,5,0,NEST-NEST GPU
0.06741326306543698,5,0,NEST-NEST GPU
0.03726394378568295,5,0,NEST-NEST GPU
0.04312692138779092,5,0,NEST-NEST GPU
0.05340360122968827,5,0,NEST-NEST GPU
0.0690382081686429,5,0,NEST-NEST GPU
0.039767237593324636,5,0,NEST-NEST GPU
0.04675010979358825,5,0,NEST-NEST GPU
0.04046991655687303,5,0,NEST-NEST GPU
0.06370223978919626,5,0,NEST-NEST GPU
0.023912495589495448,6,0,NEST-NEST
0.03170522707797775,6,0,NEST-NEST
0.01717828519582635,6,0,NEST-NEST
0.01899793336357677,6,0,NEST-NEST
0.013357528101214797,6,0,NEST-NEST
0.018534200312515695,6,0,NEST-NEST
0.023524371188063862,6,0,NEST-NEST
0.012893795050153806,6,0,NEST-NEST
0.026624325822874148,6,0,NEST-NEST
0.026629366399516144,6,0,NEST-NEST
0.02343868138515045,6,0,NEST-NEST GPU
0.01560058470689044,6,0,NEST-NEST GPU
0.019572559100761174,6,0,NEST-NEST GPU
0.01656837542214836,6,0,NEST-NEST GPU
0.016780079641110994,6,0,NEST-NEST GPU
0.019597761983970934,6,0,NEST-NEST GPU
0.017526084984122225,6,0,NEST-NEST GPU
0.02351429003478004,6,0,NEST-NEST GPU
0.01666918695498769,6,0,NEST-NEST GPU
0.01586773526891476,6,0,NEST-NEST GPU
0.032291410287964534,7,0,NEST-NEST
0.09950775289195178,7,0,NEST-NEST
0.036943145459020395,7,0,NEST-NEST
0.07280334728033469,7,0,NEST-NEST
0.04799409303470335,7,0,NEST-NEST
0.06743785380260896,7,0,NEST-NEST
0.04762490770366714,7,0,NEST-NEST
0.07132660595619002,7,0,NEST-NEST
0.03792763967511689,7,0,NEST-NEST
0.04723111001722871,7,0,NEST-NEST
0.043711543194683726,7,0,NEST-NEST GPU
0.06487816884075807,7,0,NEST-NEST GPU
0.0421609648043318,7,0,NEST-NEST GPU
0.031380753138075264,7,0,NEST-NEST GPU
0.050676839773566365,7,0,NEST-NEST GPU
0.05909426532119123,7,0,NEST-NEST GPU
0.050578390351956895,7,0,NEST-NEST GPU
0.062170809746492806,7,0,NEST-NEST GPU
0.0522028058085159,7,0,NEST-NEST GPU
0.0370415948806301,7,0,NEST-NEST GPU
0.002220858652837465,8,1,NEST-NEST
0.002367332396429228,8,1,NEST-NEST
0.004968231032639903,8,1,NEST-NEST
0.0029512479958829327,8,1,NEST-NEST
0.004602046673660465,8,1,NEST-NEST
0.0011678311989073765,8,1,NEST-NEST
0.00165475742760442,8,1,NEST-NEST
0.0021990855287899957,8,1,NEST-NEST
0.004746541042338869,8,1,NEST-NEST
0.0019615605391817615,8,1,NEST-NEST
0.002098137408206574,8,1,NEST-NEST GPU
0.00304625799172627,8,1,NEST-NEST GPU
0.0017616436729281037,8,1,NEST-NEST GPU
0.0012648205696640879,8,1,NEST-NEST GPU
0.001929890540567225,8,1,NEST-NEST GPU
0.001811128045763116,8,1,NEST-NEST GPU
0.0027236198808416657,8,1,NEST-NEST GPU
0.002523703014588069,8,1,NEST-NEST GPU
0.0031788761109241615,8,1,NEST-NEST GPU
0.0013756655648146376,8,1,NEST-NEST GPU
0.01645614035087713,9,1,NEST-NEST
0.022371929824561307,9,1,NEST-NEST
0.013319298245614009,9,1,NEST-NEST
0.011010526315789505,9,1,NEST-NEST
0.015333333333333424,9,1,NEST-NEST
0.0125543859649122,9,1,NEST-NEST
0.016364912280701763,9,1,NEST-NEST
0.01230877192982447,9,1,NEST-NEST
0.008329824561403545,9,1,NEST-NEST
0.021326315789473672,9,1,NEST-NEST
0.01382456140350883,9,1,NEST-NEST GPU
0.020617543859649135,9,1,NEST-NEST GPU
0.019305263157894707,9,1,NEST-NEST GPU
0.011971929824561394,9,1,NEST-NEST GPU
0.012694736842105155,9,1,NEST-NEST GPU
0.030807017543859568,9,1,NEST-NEST GPU
0.019621052631579032,9,1,NEST-NEST GPU
0.00905964912280707,9,1,NEST-NEST GPU
0.016961403508771886,9,1,NEST-NEST GPU
0.014645614035087703,9,1,NEST-NEST GPU
0.01767752487392664,10,1,NEST-NEST
0.024969333515060574,10,1,NEST-NEST
0.036287310890009465,10,1,NEST-NEST
0.028472127572577395,10,1,NEST-NEST
0.04197628458498028,10,1,NEST-NEST
0.026972877197764644,10,1,NEST-NEST
0.03717050565626284,10,1,NEST-NEST
0.0288101403843532,10,1,NEST-NEST
0.012923538230884449,10,1,NEST-NEST
0.015927490800054424,10,1,NEST-NEST
0.025124710372086786,10,1,NEST-NEST GPU
0.02560447049202668,10,1,NEST-NEST GPU
0.014354640861387366,10,1,NEST-NEST GPU
0.021965380945890546,10,1,NEST-NEST GPU
0.014962518740629661,10,1,NEST-NEST GPU
0.029276270955431387,10,1,NEST-NEST GPU
0.022300667847894147,10,1,NEST-NEST GPU
0.018053700422516118,10,1,NEST-NEST GPU
0.01863704511380675,10,1,NEST-NEST GPU
0.01911680523374687,10,1,NEST-NEST GPU
0.023607022134990885,11,1,NEST-NEST
0.03519790644422659,11,1,NEST-NEST
0.02634391015156465,11,1,NEST-NEST
0.03550321666121456,11,1,NEST-NEST
0.016683022571148225,11,1,NEST-NEST
0.02150256242503546,11,1,NEST-NEST
0.01958346963253718,11,1,NEST-NEST
0.021306291571257054,11,1,NEST-NEST
0.026256678660996846,11,1,NEST-NEST
0.022832842656198993,11,1,NEST-NEST
0.03729146221786066,11,1,NEST-NEST GPU
0.056122560244248255,11,1,NEST-NEST GPU
0.031196161814415063,11,1,NEST-NEST GPU
0.046396249045905655,11,1,NEST-NEST GPU
0.02900447061389175,11,1,NEST-NEST GPU
0.029636898920510413,11,1,NEST-NEST GPU
0.04480427434303809,11,1,NEST-NEST GPU
0.028044924217642528,11,1,NEST-NEST GPU
0.023018209573656176,11,1,NEST-NEST GPU
0.028186675389815667,11,1,NEST-NEST GPU
0.019199119450704755,12,1,NEST-NEST
0.04083023219246276,12,1,NEST-NEST
0.035389695476702135,12,1,NEST-NEST
0.038261963415273215,12,1,NEST-NEST
0.028067508779286092,12,1,NEST-NEST
0.029204884952041585,12,1,NEST-NEST
0.043618638293411484,12,1,NEST-NEST
0.07059594318360482,12,1,NEST-NEST
0.03186749829655629,12,1,NEST-NEST
0.02382724461449763,12,1,NEST-NEST
0.034095078358404564,12,1,NEST-NEST GPU
0.03277425441584985,12,1,NEST-NEST GPU
0.022548351590754308,12,1,NEST-NEST GPU
0.037648723727658734,12,1,NEST-NEST GPU
0.016400230620053503,12,1,NEST-NEST GPU
0.023271659940248463,12,1,NEST-NEST GPU
0.02745951045652289,12,1,NEST-NEST GPU
0.028633576183238196,12,1,NEST-NEST GPU
0.024980344881807226,12,1,NEST-NEST GPU
0.02576654960951836,12,1,NEST-NEST GPU
0.1383146335640964,13,1,NEST-NEST
0.06719980902363332,13,1,NEST-NEST
0.05368823108140364,13,1,NEST-NEST
0.06084984483170208,13,1,NEST-NEST
0.08180950107424205,13,1,NEST-NEST
0.043470995464311234,13,1,NEST-NEST
0.06832179517784667,13,1,NEST-NEST
0.09427070899976128,13,1,NEST-NEST
0.053783719264740945,13,1,NEST-NEST
0.10708999761279542,13,1,NEST-NEST
0.1618763428025781,13,1,NEST-NEST GPU
0.19114347099546425,13,1,NEST-NEST GPU
0.08300310336595837,13,1,NEST-NEST GPU
0.03869658629744569,13,1,NEST-NEST GPU
0.08436380997851511,13,1,NEST-NEST GPU
0.08956791597039875,13,1,NEST-NEST GPU
0.054690857006445354,13,1,NEST-NEST GPU
0.0704941513487706,13,1,NEST-NEST GPU
0.0597278586774887,13,1,NEST-NEST GPU
0.04483170207686795,13,1,NEST-NEST GPU
0.011590814630091578,14,1,NEST-NEST
0.010432252701579641,14,1,NEST-NEST
0.023280340814630103,14,1,NEST-NEST
0.016448462177888628,14,1,NEST-NEST
0.008551537822111323,14,1,NEST-NEST
0.01844347464671657,14,1,NEST-NEST
0.011731088944305901,14,1,NEST-NEST
0.01172069825436422,14,1,NEST-NEST
0.027971737323358316,14,1,NEST-NEST
0.01730569409808815,14,1,NEST-NEST
0.01002701579384874,14,1,NEST-NEST GPU
0.021882793017456454,14,1,NEST-NEST GPU
0.011637572734829599,14,1,NEST-NEST GPU
0.01548732335827093,14,1,NEST-NEST GPU
0.010198462177888596,14,1,NEST-NEST GPU
0.009216541978387326,14,1,NEST-NEST GPU
0.011034912718204507,14,1,NEST-NEST GPU
0.009850374064838036,14,1,NEST-NEST GPU
0.011003740648379078,14,1,NEST-NEST GPU
0.016069201995012366,14,1,NEST-NEST GPU
0.04153768079167748,15,1,NEST-NEST
0.056939862978939194,15,1,NEST-NEST
0.10010149708195867,15,1,NEST-NEST
0.08457244354224812,15,1,NEST-NEST
0.06079675209337746,15,1,NEST-NEST
0.06472976401928456,15,1,NEST-NEST
0.11296625222024881,15,1,NEST-NEST
0.07558995178888617,15,1,NEST-NEST
0.11113930474498876,15,1,NEST-NEST
0.09195635625475777,15,1,NEST-NEST
0.09824917533620911,15,1,NEST-NEST GPU
0.17277340776452657,15,1,NEST-NEST GPU
0.07495559502664292,15,1,NEST-NEST GPU
0.0707180918548592,15,1,NEST-NEST GPU
0.05747272265922333,15,1,NEST-NEST GPU
0.044785587414361824,15,1,NEST-NEST GPU
0.06617609743719863,15,1,NEST-NEST GPU
0.062395331134230084,15,1,NEST-NEST GPU
0.039736107586906974,15,1,NEST-NEST GPU
0.09167723927937083,15,1,NEST-NEST GPU
0.0026088762199611014,16,2,NEST-NEST
0.004781681233836077,16,2,NEST-NEST
0.006512751779208284,16,2,NEST-NEST
0.003460253336605415,16,2,NEST-NEST
0.005421629886923537,16,2,NEST-NEST
0.004049232627942559,16,2,NEST-NEST
0.004071885677609405,16,2,NEST-NEST
0.001396938062786737,16,2,NEST-NEST
0.0020897438317634244,16,2,NEST-NEST
0.004156834613859892,16,2,NEST-NEST
0.0013705095048421323,16,2,NEST-NEST GPU
0.0031412228871312343,16,2,NEST-NEST GPU
0.0022275498839030602,16,2,NEST-NEST GPU
0.0037264266701904697,16,2,NEST-NEST GPU
0.0036546920129121633,16,2,NEST-NEST GPU
0.002391784493987484,16,2,NEST-NEST GPU
0.0035546410435504717,16,2,NEST-NEST GPU
0.003788722556774221,16,2,NEST-NEST GPU
0.0022747437373756064,16,2,NEST-NEST GPU
0.0017348460536499469,16,2,NEST-NEST GPU
0.00878731093561773,17,2,NEST-NEST
0.016751438897068583,17,2,NEST-NEST
0.010500602329005349,17,2,NEST-NEST
0.010279748360326496,17,2,NEST-NEST
0.014335430330611793,17,2,NEST-NEST
0.01554678088609299,17,2,NEST-NEST
0.012120198099317348,17,2,NEST-NEST
0.020412260741533968,17,2,NEST-NEST
0.010761611564716871,17,2,NEST-NEST
0.015118458037745947,17,2,NEST-NEST
0.023597911926114344,17,2,NEST-NEST GPU
0.010232900548788625,17,2,NEST-NEST GPU
0.020505956364609754,17,2,NEST-NEST GPU
0.008519609155400908,17,2,NEST-NEST GPU
0.014757060634453223,17,2,NEST-NEST GPU
0.009978583857582657,17,2,NEST-NEST GPU
0.014154731628965422,17,2,NEST-NEST GPU
0.015647169053674234,17,2,NEST-NEST GPU
0.015111765493240554,17,2,NEST-NEST GPU
0.013565787712488139,17,2,NEST-NEST GPU
0.03020571289458732,18,2,NEST-NEST
0.024500933214314652,18,2,NEST-NEST
0.03164002272173991,18,2,NEST-NEST
0.03616408342124482,18,2,NEST-NEST
0.01276677757039675,18,2,NEST-NEST
0.01119248559603989,18,2,NEST-NEST
0.018704860829343407,18,2,NEST-NEST
0.03291203440720591,18,2,NEST-NEST
0.029763450458492352,18,2,NEST-NEST
0.032049825529497554,18,2,NEST-NEST
0.016304877059157775,18,2,NEST-NEST GPU
0.010900348941004525,18,2,NEST-NEST GPU
0.030524222997646754,18,2,NEST-NEST GPU
0.021011523168059706,18,2,NEST-NEST GPU
0.02335267386188423,18,2,NEST-NEST GPU
0.02389231518299108,18,2,NEST-NEST GPU
0.02416822202385785,18,2,NEST-NEST GPU
0.029649841759311887,18,2,NEST-NEST GPU
0.018765722632476032,18,2,NEST-NEST GPU
0.022512780978657877,18,2,NEST-NEST GPU
0.047577700235332296,19,2,NEST-NEST
0.03992534285482429,19,2,NEST-NEST
0.058500365170818795,19,2,NEST-NEST
0.04671752008439502,19,2,NEST-NEST
0.03465065325002021,19,2,NEST-NEST
0.021650572100949464,19,2,NEST-NEST
0.027055100219102443,19,2,NEST-NEST
0.052657632070112724,19,2,NEST-NEST
0.037490870729530085,19,2,NEST-NEST
0.04149151992209682,19,2,NEST-NEST
0.01945954718818459,19,2,NEST-NEST GPU
0.015686115393978798,19,2,NEST-NEST GPU
0.03366874949281832,19,2,NEST-NEST GPU
0.012359003489410065,19,2,NEST-NEST GPU
0.04090724661202631,19,2,NEST-NEST GPU
0.04950904812139901,19,2,NEST-NEST GPU
0.031997078633449534,19,2,NEST-NEST GPU
0.024133733668749477,19,2,NEST-NEST GPU
0.03173740160675167,19,2,NEST-NEST GPU
0.027079444940355375,19,2,NEST-NEST GPU
0.02050976206918203,20,2,NEST-NEST
0.042111871429468276,20,2,NEST-NEST
0.025475547743110026,20,2,NEST-NEST
0.022411953041622232,20,2,NEST-NEST
0.053838910163852026,20,2,NEST-NEST
0.028721200326448516,20,2,NEST-NEST
0.025174210559357167,20,2,NEST-NEST
0.03548245338690431,20,2,NEST-NEST
0.026002887814677585,20,2,NEST-NEST
0.03248791512335986,20,2,NEST-NEST
0.031339067110301946,20,2,NEST-NEST GPU
0.02042187205725407,20,2,NEST-NEST GPU
0.09890765270889573,20,2,NEST-NEST GPU
0.033630485278423,20,2,NEST-NEST GPU
0.0425701550630925,20,2,NEST-NEST GPU
0.0239311946763764,20,2,NEST-NEST GPU
0.038433046644484915,20,2,NEST-NEST GPU
0.051089208362106765,20,2,NEST-NEST GPU
0.051195931948019295,20,2,NEST-NEST GPU
0.02195366940799802,20,2,NEST-NEST GPU
0.051329711181012275,21,2,NEST-NEST
0.053417214755504615,21,2,NEST-NEST
0.07680869316557051,21,2,NEST-NEST
0.05498999142121818,21,2,NEST-NEST
0.04032027452101798,21,2,NEST-NEST
0.07474978553045467,21,2,NEST-NEST
0.055561910208750336,21,2,NEST-NEST
0.0870174435230198,21,2,NEST-NEST
0.08149842722333431,21,2,NEST-NEST
0.09748355733485839,21,2,NEST-NEST
0.07637975407492135,21,2,NEST-NEST GPU
0.046525593365742086,21,2,NEST-NEST GPU
0.057334858450100175,21,2,NEST-NEST GPU
0.09270803545896493,21,2,NEST-NEST GPU
0.0819273663139835,21,2,NEST-NEST GPU
0.07343437231913066,21,2,NEST-NEST GPU
0.0468115527595082,21,2,NEST-NEST GPU
0.04063482985416071,21,2,NEST-NEST GPU
0.04569631112382029,21,2,NEST-NEST GPU
0.04981412639405205,21,2,NEST-NEST GPU
0.025101934134866707,22,2,NEST-NEST
0.009811813904861442,22,2,NEST-NEST
0.013078933612127575,22,2,NEST-NEST
0.0104600104547831,22,2,NEST-NEST
0.018975431259801397,22,2,NEST-NEST
0.01376894929430218,22,2,NEST-NEST
0.01129116570831161,22,2,NEST-NEST
0.015091479351803421,22,2,NEST-NEST
0.01763721902770517,22,2,NEST-NEST
0.021907997909043405,22,2,NEST-NEST
0.0187976999477261,22,2,NEST-NEST GPU
0.011928907475169847,22,2,NEST-NEST GPU
0.016288552012545778,22,2,NEST-NEST GPU
0.018619968635650838,22,2,NEST-NEST GPU
0.012686879247255601,22,2,NEST-NEST GPU
0.014396236278097205,22,2,NEST-NEST GPU
0.018029273392577115,22,2,NEST-NEST GPU
0.020972294824882422,22,2,NEST-NEST GPU
0.011291165708311582,22,2,NEST-NEST GPU
0.014981704129639327,22,2,NEST-NEST GPU
0.12844013275465913,23,2,NEST-NEST
0.039494511105437495,23,2,NEST-NEST
0.10602501914730651,23,2,NEST-NEST
0.07403625223385239,23,2,NEST-NEST
0.08422261935154446,23,2,NEST-NEST
0.055833546081184626,23,2,NEST-NEST
0.08932856778146525,23,2,NEST-NEST
0.09680878223129957,23,2,NEST-NEST
0.07357671687515953,23,2,NEST-NEST
0.07544038805208068,23,2,NEST-NEST
0.10382946132244056,23,2,NEST-NEST GPU
0.06977278529486831,23,2,NEST-NEST GPU
0.08031656880265496,23,2,NEST-NEST GPU
0.09433239724278791,23,2,NEST-NEST GPU
0.061526678580546314,23,2,NEST-NEST GPU
0.06231810058718411,23,2,NEST-NEST GPU
0.06601991319887673,23,2,NEST-NEST GPU
0.036941536890477494,23,2,NEST-NEST GPU
0.05930559101353092,23,2,NEST-NEST GPU
0.04809803420985447,23,2,NEST-NEST GPU
0.001846943138093207,24,3,NEST-NEST
0.0019273193672509625,24,3,NEST-NEST
0.004779820436083809,24,3,NEST-NEST
0.001607524583155212,24,3,NEST-NEST
0.006548097477554464,24,3,NEST-NEST
0.002351432235998241,24,3,NEST-NEST
0.0041864044463445745,24,3,NEST-NEST
0.00483796494228301,24,3,NEST-NEST
0.0027516032492518635,24,3,NEST-NEST
0.002113723813595567,24,3,NEST-NEST
0.004023941855493779,24,3,NEST-NEST GPU
0.0013903377511757188,24,3,NEST-NEST GPU
0.0024403591278323892,24,3,NEST-NEST GPU
0.0028319794784095994,24,3,NEST-NEST GPU
0.0029978623343308946,24,3,NEST-NEST GPU
0.00218554938007694,24,3,NEST-NEST GPU
0.004259940145361274,24,3,NEST-NEST GPU
0.003613510047028639,24,3,NEST-NEST GPU
0.0019221889696451446,24,3,NEST-NEST GPU
0.0021769987174006245,24,3,NEST-NEST GPU
0.007948344852673673,25,3,NEST-NEST
0.01304110585667526,25,3,NEST-NEST
0.011683036255608141,25,3,NEST-NEST
0.0120831817630654,25,3,NEST-NEST
0.014720504425851747,25,3,NEST-NEST
0.011331393233903217,25,3,NEST-NEST
0.008578877167454872,25,3,NEST-NEST
0.00854856311385969,25,3,NEST-NEST
0.010397720383169625,25,3,NEST-NEST
0.010100642657936223,25,3,NEST-NEST
0.012719776888565449,25,3,NEST-NEST GPU
0.01051291378683157,25,3,NEST-NEST GPU
0.017485146113738408,25,3,NEST-NEST GPU
0.011761852794955804,25,3,NEST-NEST GPU
0.009852067418455263,25,3,NEST-NEST GPU
0.010021826118588588,25,3,NEST-NEST GPU
0.009627743421850306,25,3,NEST-NEST GPU
0.012216563598884442,25,3,NEST-NEST GPU
0.009803564932702843,25,3,NEST-NEST GPU
0.016502970777252244,25,3,NEST-NEST GPU
